Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIE	LBXSTR	continuous	4.7248789940096953e-17	8.327126739042687e-13	8.327126739042686e-13	4039	0.398746262880554	5.833159400588058e-16	1.0867175963295551e-12	1.7805490395434127e-13	4556	0.0004477313060940869
LBXGTC	LBXSTR	continuous	1.7403542718247738e-14	3.067200368663981e-10	8.066248111580605e-11	3900	0.3499372144845335	5.281921282447562e-15	9.840219349199808e-12	1.0933577054666454e-12	4548	0.0016690876127532766
LBXVIA	LBXSTR	continuous	7.499147526134934e-14	1.3216497600060207e-09	2.6432995200120415e-10	4068	0.3146698964837499	3.1109297831512657e-16	5.795662186010808e-13	1.448915546502702e-13	4556	0.011276901752014096
LBXVIA	LBXSUA	continuous	1.6975601810092991e-12	2.991780063010789e-08	2.719800057282535e-09	4068	0.2043154610910946	1.1598453947848275e-12	2.1607919704841337e-09	1.440527980322756e-10	4557	0.01736300065996986
taking_birth_control	LBXCRP	binary	3.295428100442784e-13	5.8078624842203625e-09	9.679770807033939e-10	661	0.8268303620461627	1.6052667565656129e-10	2.990611967481737e-07	6.9549115522831095e-09	754	1.1310437781548737
LBXVIA	LBXSIR	continuous	1.5529417315057921e-12	2.736904507605808e-08	2.719800057282535e-09	4068	0.16360472216779395	7.37809813380452e-10	1.374539682327782e-06	2.5934710987316642e-08	4555	0.004662510214340736
LBXVIA	LBXSBU	continuous	3.3763181516359463e-10	5.950423110443192e-06	1.7501244442479976e-07	4068	0.23301840216664454	4.037917269270434e-12	7.52263987265082e-09	3.4193817602958266e-10	4558	0.005448680623915836
DR1TFIBE	LBXHCY	continuous	2.3000964593777384e-10	4.053690000007326e-06	1.3076419354862343e-07	3988	-0.0952643649076409	2.581281122518382e-09	4.808926731251745e-06	8.09710838252884e-08	4367	-0.0068734852447601925
LBXCOT	LBDLYMNO	continuous	5.048389145334013e-10	8.897281029736664e-06	2.471466952704629e-07	4010	0.18258748644056472	4.46379077452344e-12	8.316042212937168e-09	3.6156705273639863e-10	4583	0.0004321454978373314
LBXBCD	LBXHGB	continuous	9.861056526971914e-10	1.73791260231353e-05	4.137887148365548e-07	4122	0.12978929968739786	4.798963991816144e-11	8.940469916753476e-08	2.554419976215279e-09	4639	0.3482735675291588
LBXVIA	LBXIRN	continuous	4.4599922918388365e-13	7.860290415136765e-09	1.1228986307338238e-09	4077	0.16380222968433192	1.3977633593337489e-08	2.6040331384387743e-05	3.3818612187516545e-07	1516	0.00658346008027259
LBXBCD	LBXHCT	continuous	2.2944765534797394e-09	4.043785477852693e-05	7.776510534332102e-07	4122	0.12110889649180293	5.857634468826842e-10	1.0912773015424405e-06	2.1397594147890993e-08	4639	0.9699393396113105
LBXVIA	LBXSGTSI	continuous	2.4613543758236636e-09	4.3378909519516244e-05	8.184699909342688e-07	4068	0.1860382551566685	2.1233527936471097e-12	3.955806254564566e-09	2.1976701414247587e-10	4558	0.007629749406252328
LBXVIA	LBXSCR	continuous	4.721681994056496e-09	8.321492346325169e-05	1.434740059711236e-06	4068	0.2192676408293408	1.6151168391017652e-13	3.0089626712465887e-10	2.5074688927054906e-11	4558	0.0032535648570930884
SMD410	LBDNENO	binary	5.008262785688074e-09	8.826562333496662e-05	1.4960275141519766e-06	4103	0.38280107409764674	2.6077643744054232e-09	4.858265029517303e-06	8.09710838252884e-08	4631	0.13484001608546795
