Variable	pvalue	Group
trans-Lycopene (ug/dL)	9.39866E-14	nutrients
gamma-tocopherol (Vitamin E) - Triglycerides	1.80917E-11	nutrients
Cotinine (ng/mL)	1.90804E-11	cotinine
Retinol (Vitamin A) - Blood urea nitrogen	9.39819E-11	nutrients
alpha-tocopherol (Vitamin E) - Triglycerides	1.42772E-10	nutrients
Retinol (Vitamin A) - Uric acid	3.35792E-09	nutrients
Retinol (Vitamin A) - Triglycerides	7.56503E-09	nutrients
Retinyl Palmitate (ug/dL)	1.53639E-08	nutrients
Blood Toluene (ng/mL)	1.76343E-08	volatile compounds
Equol (ng/mL)	1.93397E-08	phytoestrogens
Enterolactone (ng/mL)	2.17564E-08	phytoestrogens
Vitamin A (ug/dL)	4.83458E-08	nutrients
Vitamin A (ug/dL)	5.93707E-08	nutrients
Smoked at least 100 cigarettes in life	1.63789E-07	smoking behavior
g-Tocopherol (ug/dL)	1.86633E-07	nutrients
Cotinine (ng/mL)	2.71259E-07	cotinine
Does anyone smoke in home?	2.88958E-07	smoking family
"Cadmium, urine (ng/mL)"	5.67258E-07	heavy metals
Vitamin A (ug/dL)	6.24547E-07	nutrients
Equol (ng/mL)	6.62792E-07	phytoestrogens
trans-Beta carotene (ug/dL)	0.000001056	nutrients
Blood Toluene (ng/mL)	1.20288E-06	volatile compounds
Blood Tetrachloroethene (ng/mL)	1.25654E-06	volatile compounds
Cotinine (ng/mL)	1.2582E-06	cotinine
g-Tocopherol (ug/dL)	1.38043E-06	nutrients
Total sugars (gm)	1.62503E-06	food component recall
"Molybdenum, urine (ng/mL)"	1.75635E-06	heavy metals
"Platinum, urine (ng/mL)"	2.03117E-06	heavy metals
cis-Beta carotene (ug/dL)	2.09416E-06	nutrients
Cotinine (ng/mL)	3.07204E-06	cotinine
Do you now smoke cigarettes...	3.09201E-06	smoking behavior
Vitamin E (ug/dL)	3.60681E-06	nutrients
Vitamin A (ug/dL)	3.86266E-06	nutrients
Cadmium (ug/L)	3.99909E-06	heavy metals
Alpha-carotene (ug/dL)	4.09283E-06	nutrients
Smoked at least 100 cigarettes in life	4.85341E-06	smoking behavior
Cadmium (ug/L)	5.71865E-06	heavy metals
Lead (ug/dL)	5.72135E-06	heavy metals
"Folate, RBC (ng/mL RBC)"	5.77428E-06	nutrients
Blood Toluene (ng/mL)	6.04957E-06	volatile compounds
Vitamin E (ug/dL)	6.55868E-06	nutrients
Vitamin A (ug/dL)	7.66535E-06	nutrients
Vitamin A (ug/dL)	7.88007E-06	nutrients
"Vitamin B12, serum (pg/mL)"	8.11615E-06	nutrients
Blood Tetrachloroethene (ng/mL)	8.26209E-06	volatile compounds
cis-Beta carotene (ug/dL)	8.39747E-06	nutrients
Vitamin A (ug/dL)	8.50226E-06	nutrients
Blood Toluene (ng/mL)	8.75355E-06	volatile compounds
b-Cryptoxanthin (ug/dL)	9.50387E-06	nutrients
Lead (ug/dL)	1.02835E-05	heavy metals
days drink in year	1.17038E-05	alcohol use
"Folate, RBC (ng/mL RBC)"	1.43728E-05	nutrients
Does anyone smoke in home?	1.76976E-05	smoking family
Vitamin A (ug/dL)	1.80665E-05	nutrients
"Platinum, urine (ng/mL)"	2.05309E-05	heavy metals
trans-Beta carotene (ug/dL)	2.09039E-05	nutrients
"Vitamin B12, serum (pg/mL)"	2.21839E-05	nutrients
Blood Toluene (ng/mL)	2.25488E-05	volatile compounds
Lutein and zeaxanthin (ug/dL)	2.29374E-05	nutrients
Vitamin A (ug/dL)	2.34593E-05	nutrients
Carbohydrate (gm)	2.50964E-05	food component recall
Vitamin A (ug/dL)	3.19167E-05	nutrients
days drink in year	3.46977E-05	alcohol use
Cotinine (ng/mL)	3.82712E-05	cotinine
"Folate, RBC (ng/mL RBC)"	3.92527E-05	nutrients
total supplement count	5.06474E-05	supplement use
Does anyone smoke in home?	0.000051945	smoking family
Blood m-/p-Xylene (ng/mL)	5.25716E-05	volatile compounds
Equol (ng/mL)	5.91372E-05	phytoestrogens
"Folate, RBC (ng/mL RBC)"	6.97411E-05	nutrients
Smoked at least 100 cigarettes in life	0.000069814	smoking behavior
"Folate, serum (ng/mL)"	7.11492E-05	nutrients
POTASSIUM_mg	7.31059E-05	supplement use
