Variable	Outcome	Variable_type	Weight	Converged	N	Beta	SE	Variable_pvalue	LRT_pvalue	Diff_AIC	pvalue	pvalue_bonferroni	pvalue_fdr
LBXGTC	LBXSTR	continuous	WTMEC2YR	True	1939	0.002074402948273246	0.0001382314833723337	1.0666388475751222e-12			1.0666388475751222e-12	4.415884828961006e-10	4.415884828961006e-10
LBXRPL	LBXSTR	continuous	WTMEC2YR	True	1889	0.19195886879798033	0.014297593767692197	8.940247302669143e-12			8.940247302669143e-12	3.7012623833050253e-09	1.8506311916525127e-09
LBXVIA	LBXSTR	continuous	WTMEC2YR	True	1940	0.011011014943241238	0.000933101359917786	9.914327190975864e-11			9.914327190975864e-11	4.104531457064008e-08	1.3681771523546692e-08
URXUTL	URXUCR	continuous	WTSA2YR	True	660	3.851789262797322	0.2331736167246549	4.1766893694044203e-10			4.1766893694044203e-10	1.72914939893343e-07	3.9018250293542424e-08
LBXVIE	LBXSTR	continuous	WTMEC2YR	True	1940	0.0007119027457090437	6.573514775506412e-05	4.712349069268409e-10			4.712349069268409e-10	1.9509125146771213e-07	3.9018250293542424e-08
LBXVIA	LBXSIR	continuous	WTMEC2YR	True	1940	0.007246947913818706	0.0007176182992190453	1.6310880730877969e-09			1.6310880730877969e-09	6.752704622583479e-07	1.1254507704305799e-07
URXUMO	URXUCR	continuous	WTSA2YR	True	660	0.007856852480532719	0.0005574919139445263	2.971975037308323e-09			2.971975037308323e-09	1.2303976654456456e-06	1.5755058807974076e-07
URXUPT	LBXEOPCT	continuous	WTSA2YR	True	638	-0.10165781548168126	0.007227444946104544	3.044455808304169e-09			3.044455808304169e-09	1.260404704637926e-06	1.5755058807974076e-07
LBXVIA	LBXSUA	continuous	WTMEC2YR	True	1940	0.0263898136322452	0.0028524471392404166	7.429165472384527e-09			7.429165472384527e-09	3.0756745055671942e-06	3.4174161172968824e-07
LBXVCT	LBXSASSI	continuous	WTMEC2YR	True	731	-166.94457887631998	17.109969551962536	3.8629199140222574e-08			3.8629199140222574e-08	1.5992488444052144e-05	1.5992488444052147e-06
URXUCD	URXUCR	continuous	WTSA2YR	True	657	1.0034580742231862	0.10179558091405205	2.1245158097860886e-07			2.1245158097860886e-07	8.795495452514407e-05	7.995904956831279e-06
URXMBP	URXUCR	continuous	WTSB2YR	True	651	0.005416927138316659	0.000636071083871148	3.953520692637568e-07			3.953520692637568e-07	0.0001636757566751953	1.3639646389599609e-05
LBXRST	LBXSTR	continuous	WTMEC2YR	True	1890	0.7375831468408817	0.10236076581715083	5.63749866506202e-07			5.63749866506202e-07	0.00023339244473356762	1.79532649795052e-05
VITAMIN_B_12_mcg	LBXCRP	continuous	WTMEC2YR	True	1938	-0.0003383591472653867	4.9307813358964e-05	8.78255297350388e-07			8.78255297350388e-07	0.00036359769310306063	2.597126379307576e-05
URXUPT	LBDEONO	continuous	WTSA2YR	True	638	-0.021680764432766383	0.0025063968606704352	9.410188085641905e-07			9.410188085641905e-07	0.0003895817867455749	2.5972119116371658e-05
URXMZP	URXUCR	continuous	WTSB2YR	True	651	0.010409252463794042	0.0013354136122517338	1.1841391364792107e-06			1.1841391364792107e-06	0.0004902336025023932	3.0639600156399576e-05
LBXVCT	LBXGH	continuous	WTMEC2YR	True	732	-34.432410121455575	4.611100960314989	1.3398819943088259e-06			1.3398819943088259e-06	0.0005547111456438539	3.263006739081493e-05
LBXRST	LBXSPH	continuous	WTMEC2YR	True	1890	0.2686871229424644	0.040185830327190926	1.6550520714854381e-06			1.6550520714854381e-06	0.0006851915575949714	3.634072171207872e-05
LBXVIA	LBXFER	continuous	WTMEC2YR	True	688	0.02028360517904974	0.0029130692580869983	1.6678108998296997e-06			1.6678108998296997e-06	0.0006904737125294956	3.634072171207872e-05
LBXVIA	LBXIRN	continuous	WTMEC2YR	True	759	0.012303239737408957	0.0018332585617488047	2.0503862190787774e-06			2.0503862190787774e-06	0.0008488598946986139	4.2442994734930695e-05
LBXHA	LBXSCR	binary	WTMEC2YR	True	1952	-0.07200928039075774	0.011201381467162137	2.264287578284175e-06			2.264287578284175e-06	0.0009374150574096485	4.4638812257602306e-05
supplement_count	LBXHCY	continuous	WTMEC2YR	True	1820	-0.032240925647198146	0.004947989026651471	2.3733389112862777e-06			2.3733389112862777e-06	0.000982562309272519	4.466192314875086e-05
URXUTL	URXUMA	continuous	WTSA2YR	True	660	3.509437857671754	0.4442270968249176	2.565291732398098e-06			2.565291732398098e-06	0.0010620307772128126	4.617525118316577e-05
LBXVIA	LBXSAPSI	continuous	WTMEC2YR	True	1940	-0.0030418831594891515	0.00048041552247173215	2.8068283895439103e-06			2.8068283895439103e-06	0.0011620269532711788	4.841778971963245e-05
LBXVIE	LBDLDL	continuous	WTMEC2YR	True	890	0.00035862486611705323	4.979111547434212e-05	3.060404337590249e-06			3.060404337590249e-06	0.001267007395762363	5.0680295830494524e-05
LBXVIA	LBXSCA	continuous	WTMEC2YR	True	1940	0.004971106893560822	0.000793864627877336	3.2797359432248413e-06			3.2797359432248413e-06	0.0013578106804950842	5.222348771134939e-05
URXUPT	LBXHGB	continuous	WTSA2YR	True	640	0.14009415561699112	0.01834246881118114	3.7003632459996913e-06			3.7003632459996913e-06	0.0015319503838438723	5.67389031053286e-05
LBXVIA	LBDPCT	continuous	WTMEC2YR	True	759	0.011141336169993793	0.0017772267956044723	5.096779239190873e-06			5.096779239190873e-06	0.0021100666050250213	7.535952160803648e-05
taking_birth_control	LBXCRP	binary	WTMEC2YR	True	269	1.1946403931384888	0.1625796234212126	5.59940477374644e-06			5.59940477374644e-06	0.002318153576331026	7.993633021831123e-05
URXDMA	LBXSAPSI	continuous	WTSB2YR	True	624	-0.00011221522524816868	1.6314116499656235e-05	7.581112649125699e-06			7.581112649125699e-06	0.0031385806367380392	0.00010461935455793464
total_days_drink_year	LBXSGTSI	continuous	WTMEC2YR	True	941	0.001658885147840779	0.00026307845590184083	7.900697409782321e-06			7.900697409782321e-06	0.003270888727649881	0.00010526342537128675
LBXBCD	LBXRDW	continuous	WTMEC2YR	True	1966	0.03187084228937561	0.005442802601641463	8.206367845674342e-06			8.206367845674342e-06	0.0033974362881091773	0.00010526342537128675
LBXGTC	LBXGH	continuous	WTMEC2YR	True	1938	0.0002050507103775875	3.5076200777751454e-05	8.39056289191416e-06			8.39056289191416e-06	0.0034736930372524623	0.00010526342537128675
LBXVIA	LBXSBU	continuous	WTMEC2YR	True	1940	0.006590703467276176	0.0011419079244877552	9.941761463710457e-06			9.941761463710457e-06	0.004115889245976129	0.00012105556605812145
LBXVOX	LBDHDL	continuous	WTMEC2YR	True	759	0.3750430298600342	0.05954112201657155	1.0592401733912109e-05			1.0592401733912109e-05	0.004385254317839613	0.00012529298050970323
LBXVIA	LBXRDW	continuous	WTMEC2YR	True	1942	-0.0007183057206463548	0.00012573569207590738	1.1377940185975244e-05			1.1377940185975244e-05	0.004710467236993751	0.00013084631213871532
LBXFOL	LBXHCY	continuous	WTMEC2YR	True	1808	-0.010872308125313498	0.0019046985670557626	1.3814671075772297e-05			1.3814671075772297e-05	0.005719273825369731	0.00015457496825323599
URXUMO	URXUMA	continuous	WTSA2YR	True	660	0.006829534820804943	0.0010199460763163448	1.4797180829389623e-05			1.4797180829389623e-05	0.006126032863367304	0.00016121139114124483
SMD090	LBDNENO	continuous	WTMEC2YR	True	859	0.013363195915721361	0.002366077044346137	1.5806124628814302e-05			1.5806124628814302e-05	0.006543735596329121	0.000164695221655455
URXUPT	LBXHCT	continuous	WTSA2YR	True	640	0.28334735604225925	0.04267188038392352	1.612316099867908e-05			1.612316099867908e-05	0.0066749886534531394	0.000164695221655455
LBXV4C	LBXMPSI	continuous	WTMEC2YR	True	715	-0.001954018506196781	0.00032204960502508746	1.6310396347520906e-05			1.6310396347520906e-05	0.006752504087873655	0.000164695221655455
taking_birth_control	LBXSAL	binary	WTMEC2YR	True	268	-0.2124406349653314	0.03226472322622471	1.7575553264071682e-05			1.7575553264071682e-05	0.007276279051325676	0.0001728690489206166
LBXGTC	LBXSGTSI	continuous	WTMEC2YR	True	1939	0.0006930284915301564	0.00012566088981413848	1.7954997834750036e-05			1.7954997834750036e-05	0.007433369103586515	0.0001728690489206166
LBXVCT	LBXSUA	continuous	WTMEC2YR	True	731	-358.41561579719377	61.24513111455409	2.452950600424499e-05			2.452950600424499e-05	0.010155215485757426	0.0002308003519490324
LBXVCT	LBXSTR	continuous	WTMEC2YR	True	731	145.67643170661654	24.988461869426164	2.5602583297929363e-05			2.5602583297929363e-05	0.010599469485342756	0.00023554376634095015
LBXVIA	LBXSGTSI	continuous	WTMEC2YR	True	1940	0.0057962699486862005	0.001094682899408798	2.9971401624102473e-05			2.9971401624102473e-05	0.012408160272378423	0.00026974261461692225
URXMZP	URXUMA	continuous	WTSB2YR	True	651	0.010900766320740232	0.001863502131151573	3.196897102113791e-05			3.196897102113791e-05	0.013235154002751095	0.0002815990213351297
URXUPT	LBXSTB	continuous	WTSA2YR	True	636	-0.05699591514057645	0.009249678633829765	3.4214913517775844e-05			3.4214913517775844e-05	0.0141649741963592	0.00029510362909081667
LBXCRY	LBXSUA	continuous	WTMEC2YR	True	1938	-0.012630282468510322	0.0024599611511478972	4.367388595317789e-05			4.367388595317789e-05	0.018080988784615646	0.00036899977111460507
LBXVIE	LBXSCLSI	continuous	WTMEC2YR	True	1940	-0.0006745710826631442	0.00013278123719410426	4.9594610510920674e-05			4.9594610510920674e-05	0.020532168751521158	0.0004106433750304232
SMD410	LBDNENO	binary	WTMEC2YR	True	1961	0.12844505315593788	0.025543067021355642	5.602938158514215e-05			5.602938158514215e-05	0.023196163976248848	0.0004548267446323304
LBXVIA	LBXHCY	continuous	WTMEC2YR	True	1800	0.002418293326470045	0.00048102786205123283	6.454518048018967e-05			6.454518048018967e-05	0.026721704718798523	0.0005138789368999716
URXUPT	LBXRBCSI	continuous	WTSA2YR	True	640	0.029737935028741447	0.00519925756710058	7.057646980226226e-05			7.057646980226226e-05	0.029218658498136575	0.0005512954433610674
LBXVCT	LBXSTB	continuous	WTMEC2YR	True	731	75.32875532831436	14.293250270577182	7.620439707240052e-05			7.620439707240052e-05	0.03154862038797381	0.000584233710888404
DR1TALCO	LBXHCY	continuous	WTDRD1	True	1741	0.0013345866649010255	0.00027631954040975077	0.00010173280206505582			0.00010173280206505582	0.04211738005493311	0.0007657705464533292
LBXVIA	LBXSCR	continuous	WTMEC2YR	True	1940	0.003558348204529406	0.0007848923796586601	0.00018148998320372274			0.00018148998320372274	0.07513685304634121	0.0013417295186846647
URXUCD	URXUMA	continuous	WTSA2YR	True	657	1.16811640028893	0.23249824515227235	0.00023279634106093694			0.00023279634106093694	0.09637768519922789	0.0016908365824425946
VITAMIN_B_12_mcg	LBXSTR	continuous	WTMEC2YR	True	1929	-0.00012177494748262651	2.7618874653289553e-05	0.00024428500728537343			0.00024428500728537343	0.1011339930161446	0.0017436895347611137
LBXTNA	LBXSTR	continuous	WTSB2YR	True	302	1.2348964934153908	0.13647080491439856	0.0002755096587529154			0.0002755096587529154	0.11406099872370698	0.001910102991717905
URXMBP	URXUMA	continuous	WTSB2YR	True	651	0.005327333207097935	0.0011300456791948667	0.0002768265205388268			0.0002768265205388268	0.1146061795030743	0.001910102991717905
LBXGHC	LBXSGTSI	continuous	WTSB2YR	True	303	2.9976606322884476	0.3618744520313358	0.0004184597905191726			0.0004184597905191726	0.17324235327493748	0.0028400385782776636
LBXGTC	LBDLYMNO	continuous	WTMEC2YR	True	1936	0.0002801645785013741	6.771642817110435e-05	0.000467906283136493			0.000467906283136493	0.1937132012185081	0.0031244064712662597
LBXRBF	LBXHCY	continuous	WTMEC2YR	True	1809	-0.0003606135037493348	8.659865576231894e-05	0.00047920578093387444			0.00047920578093387444	0.19839119330662403	0.003149066560422603
VITAMIN_C_mg	LBXHCY	continuous	WTMEC2YR	True	1801	-7.486185755642316e-05	1.813265353379345e-05	0.0005208403174928329			0.0005208403174928329	0.21562789144203282	0.0033691858037817627
SMD080	LBXSTP	continuous	WTMEC2YR	True	872	-0.0006623648547840355	0.00016166796765088444	0.0005606537155522006			0.0005606537155522006	0.23211063823861106	0.0035709328959786318
LBXRBF	LBXEPP	continuous	WTMEC2YR	True	688	0.000546302014907468	0.000131046270619415	0.0005768917005381972			0.0005768917005381972	0.23883316402281363	0.003596239243945855
LBXVEB	LBDHDL	continuous	WTMEC2YR	True	735	0.33130634706858547	0.07752662685189275	0.0005820000708801263			0.0005820000708801263	0.24094802934437226	0.003596239243945855
LBXVIA	LBXSAL	continuous	WTMEC2YR	True	1940	0.004400642142598228	0.0010968928583797782	0.0006314779260586545			0.0006314779260586545	0.261431861388283	0.003844586196886514
DR1TALCO	LBDHDL	continuous	WTDRD1	True	1876	0.0017791229069294896	0.00044556089179495777	0.0006606781124668582			0.0006606781124668582	0.27352073856127934	0.00396406867480115
