Variable	Outcome	Variable_type	Weight	Converged	N	Beta	SE	Beta_pvalue	LRT_pvalue	Diff_AIC	pvalue	pvalue_bonferroni	pvalue_fdr
LBXGTC	LBXSTR	continuous	WTMEC2YR	True	1939	0.00207440294827326	0.00013823148337233264	1.0666388475748219e-12	NA	NA	1.0666388475748219e-12	4.4052184404840144e-10	4.4052184404840144e-10
LBXRPL	LBXSTR	continuous	WTMEC2YR	True	1889	0.19195886879798046	0.01429759376769221	8.940247302669143e-12	NA	NA	8.940247302669143e-12	3.692322136002356e-09	1.846161068001178e-09
LBXVIA	LBXSTR	continuous	WTMEC2YR	True	1940	0.011011014943241132	0.0009331013599177769	9.914327190975829e-11	NA	NA	9.914327190975829e-11	4.094617129873017e-08	1.364872376624339e-08
URXUTL	URXUCR	continuous	WTSA2YR	True	660	3.85178926279732	0.2331736167246555	4.176689369404599e-10	NA	NA	4.176689369404599e-10	1.7249727095640995e-07	3.8924003312180745e-08
LBXVIE	LBXSTR	continuous	WTMEC2YR	True	1940	0.0007119027457090852	6.573514775507019e-05	4.712349069271276e-10	NA	NA	4.712349069271276e-10	1.9462001656090372e-07	3.8924003312180745e-08
LBXVIA	LBXSIR	continuous	WTMEC2YR	True	1940	0.00724694791381859	0.000717618299219053	1.6310880730885564e-09	NA	NA	1.6310880730885564e-09	6.736393741855738e-07	1.1227322903092896e-07
URXUMO	URXUCR	continuous	WTSA2YR	True	660	0.007856852480532767	0.0005574919139445302	2.9719750373083656e-09	NA	NA	2.9719750373083656e-09	1.227425690408355e-06	1.5717003110368308e-07
URXUPT	LBXEOPCT	continuous	WTSA2YR	True	638	-0.10165781548168125	0.007227444946104471	3.0444558083037886e-09	NA	NA	3.0444558083037886e-09	1.2573602488294647e-06	1.5717003110368308e-07
LBXVIA	LBXSUA	continuous	WTMEC2YR	True	1940	0.026389813632245282	0.002852447139240405	7.429165472383593e-09	NA	NA	7.429165472383593e-09	3.068245340094424e-06	3.4091614889938044e-07
LBXVCT	LBXSASSI	continuous	WTMEC2YR	True	731	-166.94457887632095	17.10996955330324	3.862919918206295e-08	NA	NA	3.862919918206295e-08	1.5953859262192e-05	1.5953859262191998e-06
URXUCD	URXUCR	continuous	WTSA2YR	True	657	1.0034580742231871	0.10179558091405208	2.1245158097860659e-07	NA	NA	2.1245158097860659e-07	8.774250294416452e-05	7.97659117674223e-06
URXMBP	URXUCR	continuous	WTSB2YR	True	651	0.005416927138316636	0.0006360710838711456	3.9535206926375885e-07	NA	NA	3.9535206926375885e-07	0.0001632804046059324	1.36067003838277e-05
LBXRST	LBXSTR	continuous	WTMEC2YR	True	1890	0.7375831468408816	0.10236076581715073	5.637498665061938e-07	NA	NA	5.637498665061938e-07	0.00023282869486705805	1.790989960515831e-05
VITAMIN_B_12_mcg	LBXCRP	continuous	WTMEC2YR	True	1938	-0.0003383591472653168	4.9307813358912395e-05	8.782552973394722e-07	NA	NA	8.782552973394722e-07	0.00036271943780120204	2.5908531271514432e-05
URXUPT	LBDEONO	continuous	WTSA2YR	True	638	-0.02168076443276638	0.0025063968606704352	9.410188085641905e-07	NA	NA	9.410188085641905e-07	0.0003886407679370107	2.5909384529134048e-05
URXMZP	URXUCR	continuous	WTSB2YR	True	651	0.010409252463793952	0.0013354136122517065	1.18413913647904e-06	NA	NA	1.18413913647904e-06	0.0004890494633658435	3.056559146036522e-05
LBXVCT	LBXGH	continuous	WTMEC2YR	True	732	-34.4324101214562	4.611100960900008	1.3398819964548048e-06	NA	NA	1.3398819964548048e-06	0.0005533712645358344	3.255125085504908e-05
LBXRST	LBXSPH	continuous	WTMEC2YR	True	1890	0.26868712294246405	0.040185830327190926	1.6550520714854625e-06	NA	NA	1.6550520714854625e-06	0.000683536505523496	3.625294219103598e-05
LBXVIA	LBXFER	continuous	WTMEC2YR	True	688	0.02028360517904976	0.0029130692580870074	1.6678108998297422e-06	NA	NA	1.6678108998297422e-06	0.0006888059016296836	3.625294219103598e-05
LBXVIA	LBXIRN	continuous	WTMEC2YR	True	759	0.012303239737408675	0.001833258561748804	2.050386219079409e-06	NA	NA	2.050386219079409e-06	0.0008468095084797958	4.234047542398979e-05
LBXHA	LBXSCR	binary	WTMEC2YR	True	1952	-0.0720092803907581	0.011201381467162102	2.2642875782839124e-06	NA	NA	2.2642875782839124e-06	0.0009351507698312559	4.4530989039583606e-05
supplement_count	LBXHCY	continuous	WTMEC2YR	True	1820	-0.03224092564719815	0.004947989026651453	2.373338911286148e-06	NA	NA	2.373338911286148e-06	0.000980188970361179	4.4554044107326326e-05
URXUTL	URXUMA	continuous	WTSA2YR	True	660	3.5094378576717533	0.44422709682491957	2.565291732398227e-06	NA	NA	2.565291732398227e-06	0.0010594654854804678	4.606371676002034e-05
LBXVIA	LBXSAPSI	continuous	WTMEC2YR	True	1940	-0.0030418831594892816	0.00048041552247172624	2.8068283895417245e-06	NA	NA	2.8068283895417245e-06	0.0011592201248807321	4.830083853669717e-05
LBXVIE	LBDLDL	continuous	WTMEC2YR	True	890	0.00035862486611705285	4.979111547434186e-05	3.0604043375901007e-06	NA	NA	3.0604043375901007e-06	0.0012639469914247116	5.055787965698846e-05
LBXVIA	LBXSCA	continuous	WTMEC2YR	True	1940	0.004971106893560515	0.0007938646278773541	3.2797359432287194e-06	NA	NA	3.2797359432287194e-06	0.0013545309445534611	5.209734402128696e-05
URXUPT	LBXHGB	continuous	WTSA2YR	True	640	0.1400941556169919	0.0183424688111799	3.7003632459967576e-06	NA	NA	3.7003632459967576e-06	0.001528250020596661	5.6601852614691145e-05
LBXVIA	LBDPCT	continuous	WTMEC2YR	True	759	0.0111413361699936	0.00177722679560446	5.096779239191558e-06	NA	NA	5.096779239191558e-06	0.0021049698257861135	7.517749377807548e-05
taking_birth_control	LBXCRP	binary	WTMEC2YR	True	269	1.19464039313849	0.16257962342121252	5.599404773746358e-06	NA	NA	5.599404773746358e-06	0.002312554171557246	7.974324729507745e-05
URXDMA	LBXSAPSI	continuous	WTSB2YR	True	624	-0.0001122152252481545	1.631411649965116e-05	7.581112649110276e-06	NA	NA	7.581112649110276e-06	0.003130999524082544	0.00010436665080275148
total_days_drink_year	LBXSGTSI	continuous	WTMEC2YR	True	941	0.0016588851478407632	0.00026307845590184154	7.900697409783483e-06	NA	NA	7.900697409783483e-06	0.003262988030240579	0.0001050091658898559
LBXBCD	LBXRDW	continuous	WTMEC2YR	True	1966	0.03187084228937552	0.005442802601641475	8.206367845674896e-06	NA	NA	8.206367845674896e-06	0.003389229920263732	0.0001050091658898559
LBXGTC	LBXGH	continuous	WTMEC2YR	True	1938	0.0002050507103775687	3.507620077775179e-05	8.390562891925533e-06	NA	NA	8.390562891925533e-06	0.003465302474365245	0.0001050091658898559
LBXVIA	LBXSBU	continuous	WTMEC2YR	True	1940	0.006590703467276122	0.0011419079244877482	9.941761463710747e-06	NA	NA	9.941761463710747e-06	0.004105947484512538	0.0001207631613091923
LBXVOX	LBDHDL	continuous	WTMEC2YR	True	759	0.3750430298600335	0.05954112201657229	1.059240173391386e-05	NA	NA	1.059240173391386e-05	0.004374661916106424	0.00012499034046018355
LBXVIA	LBXRDW	continuous	WTMEC2YR	True	1942	-0.0007183057206462377	0.0001257356920759088	1.1377940186001204e-05	NA	NA	1.1377940186001204e-05	0.004699089296818498	0.00013053025824495828
LBXFOL	LBXHCY	continuous	WTMEC2YR	True	1808	-0.010872308125313597	0.0019046985670557674	1.3814671075771162e-05	NA	NA	1.3814671075771162e-05	0.00570545915429349	0.0001542015987646889
URXUMO	URXUMA	continuous	WTSA2YR	True	660	0.006829534820804941	0.0010199460763163461	1.4797180829389839e-05	NA	NA	1.4797180829389839e-05	0.006111235682538003	0.00016082199164573692
SMD090	LBDNENO	continuous	WTMEC2YR	True	859	0.01336319591572135	0.0023660770443461325	1.5806124628814068e-05	NA	NA	1.5806124628814068e-05	0.00652792947170021	0.00016429740710959917
URXUPT	LBXHCT	continuous	WTSA2YR	True	640	0.2833473560422628	0.04267188038391956	1.6123160998661683e-05	NA	NA	1.6123160998661683e-05	0.006658865492447275	0.00016429740710959917
LBXV4C	LBXMPSI	continuous	WTMEC2YR	True	715	-0.0019540185061970084	0.00032204960502498853	1.6310396347442047e-05	NA	NA	1.6310396347442047e-05	0.006736193691493565	0.00016429740710959917
taking_birth_control	LBXSAL	binary	WTMEC2YR	True	268	-0.2124406349653325	0.03226472322622457	1.757555326406996e-05	NA	NA	1.757555326406996e-05	0.007258703498060894	0.00017245149083138374
LBXGTC	LBXSGTSI	continuous	WTMEC2YR	True	1939	0.0006930284915301783	0.00012566088981413946	1.7954997834744554e-05	NA	NA	1.7954997834744554e-05	0.007415414105749501	0.00017245149083138374
LBXVCT	LBXSUA	continuous	WTMEC2YR	True	731	-358.4156157971929	61.245131112090895	2.4529505993219087e-05	NA	NA	2.4529505993219087e-05	0.010130685975199482	0.00023024286307271553
LBXVCT	LBXSTR	continuous	WTMEC2YR	True	731	145.676431706617	24.988461864792015	2.5602583244980388e-05	NA	NA	2.5602583244980388e-05	0.0105738668801769	0.00023497481955948667
LBXVIA	LBXSGTSI	continuous	WTMEC2YR	True	1940	0.005796269948686203	0.0010946828994088244	2.9971401624111255e-05	NA	NA	2.9971401624111255e-05	0.012378188870757948	0.0002690910624077815
URXMZP	URXUMA	continuous	WTSB2YR	True	651	0.010900766320740172	0.001863502131151565	3.196897102113837e-05	NA	NA	3.196897102113837e-05	0.013203185031730147	0.00028091883046234354
URXUPT	LBXSTB	continuous	WTSA2YR	True	636	-0.0569959151405764	0.009249678633829745	3.421491351777534e-05	NA	NA	3.421491351777534e-05	0.014130759282841217	0.0002943908183925253
LBXCRY	LBXSUA	continuous	WTMEC2YR	True	1938	-0.012630282468511122	0.0024599611511479233	4.367388595315009e-05	NA	NA	4.367388595315009e-05	0.018037314898650986	0.0003681084673194079
LBXVIE	LBXSCLSI	continuous	WTMEC2YR	True	1940	-0.0006745710826638491	0.00013278123719411299	4.959461051033954e-05	NA	NA	4.959461051033954e-05	0.020482574140770232	0.0004096514828154046
SMD410	LBDNENO	binary	WTMEC2YR	True	1961	0.1284450531559376	0.025543067021355604	5.602938158514276e-05	NA	NA	5.602938158514276e-05	0.02314013459466396	0.0004537281293071365
LBXVIA	LBXHCY	continuous	WTMEC2YR	True	1800	0.0024182933264700742	0.00048102786205123457	6.454518048018338e-05	NA	NA	6.454518048018338e-05	0.026657159538315735	0.0005126376834291487
URXUPT	LBXRBCSI	continuous	WTSA2YR	True	640	0.02973793502874178	0.005199257567100358	7.057646980222601e-05	NA	NA	7.057646980222601e-05	0.029148082028319342	0.0005499638118550819
LBXVCT	LBXSTB	continuous	WTMEC2YR	True	731	75.32875532831237	14.293250269727407	7.620439702502694e-05	NA	NA	7.620439702502694e-05	0.031472415971336126	0.000582822517987706
DR1TALCO	LBXHCY	continuous	WTDRD1	True	1741	0.0013345866649010524	0.0002763195404097553	0.00010173280206505171	NA	NA	0.00010173280206505171	0.042015647252866356	0.0007639208591430247
LBXVIA	LBXSCR	continuous	WTMEC2YR	True	1940	0.003558348204529449	0.000784892379658646	0.00018148998320366379	NA	NA	0.00018148998320366379	0.07495536306311314	0.0013384886261270203
URXUCD	URXUMA	continuous	WTSA2YR	True	657	1.1681164002889306	0.23249824515227244	0.00023279634106093588	NA	NA	0.00023279634106093588	0.09614488885816652	0.0016867524361081846
VITAMIN_B_12_mcg	LBXSTR	continuous	WTMEC2YR	True	1929	-0.00012177494748253247	2.7618874653237087e-05	0.000244285007282472	NA	NA	0.000244285007282472	0.10088970800766094	0.0017394777242700163
LBXTNA	LBXSTR	continuous	WTSB2YR	True	302	1.2348964934153948	0.13647080491440275	0.0002755096587529516	NA	NA	0.0002755096587529516	0.11378548906496902	0.0019054892163757112
URXMBP	URXUMA	continuous	WTSB2YR	True	651	0.0053273332070979005	0.0011300456791948673	0.0002768265205388442	NA	NA	0.0002768265205388442	0.11432935298254267	0.0019054892163757112
LBXGHC	LBXSGTSI	continuous	WTSB2YR	True	303	2.997660632288458	0.3618744520313269	0.00041845979051911776	NA	NA	0.00041845979051911776	0.17282389348439564	0.0028331785817114043
LBXGTC	LBDLYMNO	continuous	WTMEC2YR	True	1936	0.0002801645785013659	6.771642817110377e-05	0.00046790628313658864	NA	NA	0.00046790628313658864	0.19324529493541112	0.003116859595732437
LBXRBF	LBXHCY	continuous	WTMEC2YR	True	1809	-0.0003606135037493226	8.659865576231896e-05	0.00047920578093403333	NA	NA	0.00047920578093403333	0.19791198752575576	0.0031414601194564404
VITAMIN_C_mg	LBXHCY	continuous	WTMEC2YR	True	1801	-7.486185755641425e-05	1.813265353379181e-05	0.0005208403174929765	NA	NA	0.0005208403174929765	0.2151070511245993	0.003361047673821864
SMD080	LBXSTP	continuous	WTMEC2YR	True	872	-0.0006623648547843712	0.0001616679676508833	0.0005606537155494397	NA	NA	0.0005606537155494397	0.2315499845219186	0.003562307454183363
LBXRBF	LBXEPP	continuous	WTMEC2YR	True	688	0.0005463020149074489	0.00013104627061941477	0.0005768917005383731	NA	NA	0.0005768917005383731	0.2382562723223481	0.0035875526757214123
LBXVEB	LBDHDL	continuous	WTMEC2YR	True	735	0.331306347068587	0.07752662685188741	0.0005820000708797448	NA	NA	0.0005820000708797448	0.2403660292733346	0.0035875526757214123
LBXVIA	LBXSAL	continuous	WTMEC2YR	True	1940	0.004400642142598104	0.0010968928583797884	0.000631477926058883	NA	NA	0.000631477926058883	0.26080038346231865	0.003835299756798804
DR1TALCO	LBDHDL	continuous	WTDRD1	True	1876	0.0017791229069292096	0.00044556089179495327	0.0006606781124677868	NA	NA	0.0006606781124677868	0.2728600604491959	0.003954493629698492
CALCIUM_mg	LBXHCY	continuous	WTMEC2YR	True	1800	-9.080355755359196e-05	2.264276020889351e-05	0.0006868322290557001	NA	NA	0.0006868322290557001	0.28366171060000417	0.004052310151428631
LBXVIA	LBXHGB	continuous	WTMEC2YR	True	1942	0.01082387017673156	0.0027371450137582956	0.0007244114415609343	NA	NA	0.0007244114415609343	0.29918192536466587	0.004213829934713604
LBXBCD	LBXHCT	continuous	WTMEC2YR	True	1966	0.8813910471908882	0.23063459570357783	0.0009945032877761385	NA	NA	0.0009945032877761385	0.4107298578515452	0.005704581359049239
URXP14	LBXLYPCT	continuous	WTMEC2YR	True	303	-0.3513151841134788	0.05161120998887328	0.0010423559433135935	NA	NA	0.0010423559433135935	0.4304930045885141	0.005850271466633862
taking_birth_control	LBXTIB	binary	WTMEC2YR	True	268	0.10304061085929464	0.024559546088212744	0.001048232659881128	NA	NA	0.001048232659881128	0.4329200885309058	0.005850271466633862
LBXRST	LBDHDL	continuous	WTMEC2YR	True	1893	-0.11727819743435985	0.0308237737421618	0.0011100297462384497	NA	NA	0.0011100297462384497	0.4584422851964797	0.00611256380261973
CALCIUM_mg	LBXIRN	continuous	WTMEC2YR	True	747	0.00014328454009922213	3.748431031074366e-05	0.0011491536650247694	NA	NA	0.0011491536650247694	0.47460046365522973	0.006244742942831971
URXP14	LBDNENO	continuous	WTMEC2YR	True	303	0.014267327556748886	0.0021891108984543398	0.0012711046130352067	NA	NA	0.0012711046130352067	0.5249662051835403	0.006817742924461563
LBXCBC	LBXSUA	continuous	WTMEC2YR	True	1869	-0.11267342749358318	0.03014779452313589	0.001299054609254268	NA	NA	0.001299054609254268	0.5365095536220127	0.006878327610538624
URXP14	LBXSTP	continuous	WTMEC2YR	True	302	-0.0029226993521282085	0.00048083174644663354	0.0017417735198487344	NA	NA	0.0017417735198487344	0.7193524636975274	0.009105727388576295
URXP14	LBXSAL	continuous	WTMEC2YR	True	303	-0.01929343414218674	0.003200409580153919	0.0018074798385890223	NA	NA	0.0018074798385890223	0.7464891733372662	0.00914656925072741
SMQ020	LBDNENO	binary	WTMEC2YR	True	1678	0.07529147219249133	0.020806166601829445	0.0018288978424913006	NA	NA	0.0018288978424913006	0.7553348089489071	0.00914656925072741
URXP14	LBXNEPCT	continuous	WTMEC2YR	True	303	0.39267114064024355	0.06536125947534532	0.0018355651024719766	NA	NA	0.0018355651024719766	0.7580883873209263	0.00914656925072741
DR1TS060	LBXSTP	continuous	WTDRD1	True	1867	-0.030506804458956035	0.008567059912379013	0.0018465454637816704	NA	NA	0.0018465454637816704	0.7626232765418299	0.00914656925072741
URXMEP	URXUCR	continuous	WTSB2YR	True	651	7.180649326363497e-05	1.9055849281165687e-05	0.0018603191696394733	NA	NA	0.0018603191696394733	0.7683118170611025	0.00914656925072741
LBXBEC	LBXSUA	continuous	WTMEC2YR	True	1940	-0.007029597613231376	0.0019851588382270233	0.0019353093600302882	NA	NA	0.0019353093600302882	0.799282765692509	0.009322119250927513
LBXHE1	LBXSCR	binary	WTMEC2YR	True	1298	-0.05907714417309654	0.0164444516091879	0.0019411676890551239	NA	NA	0.0019411676890551239	0.8017022555797662	0.009322119250927513
LBXRBF	LBXCRP	continuous	WTMEC2YR	True	1948	0.0010045617409666554	0.0002936396558534022	0.002567789321771968	NA	NA	0.002567789321771968	1.0	0.012189620573469227
total_days_5drink_year	LBXSGTSI	continuous	WTMEC2YR	True	431	0.0017991779259085702	0.0004992270546699135	0.0026046009733293623	NA	NA	0.0026046009733293623	1.0	0.01222386593164803
LBX118	LBXGH	continuous	WTSC2YR	True	270	0.8737906332645677	0.09707571477339114	0.002894757672992293	NA	NA	0.002894757672992293	1.0	0.01343297661736873
URXUCO	LBXSTR	continuous	WTSA2YR	True	636	0.042012842273269985	0.011758615600008132	0.0034035838310433	NA	NA	0.0034035838310433	1.0	0.015447034310119593
LBXCOT	LBXMCHSI	continuous	WTMEC2YR	True	1957	0.0021609440733691685	0.0006541884763263432	0.0033841002518708208	NA	NA	0.0033841002518708208	1.0	0.015447034310119593
LBXBCD	LBXHGB	continuous	WTMEC2YR	True	1966	0.2654930985420627	0.08070329713009591	0.003492451060710374	NA	NA	0.003492451060710374	1.0	0.015509486968531017
URXUPT	LBXRDW	continuous	WTSA2YR	True	640	-0.0044367263079856945	0.0012459903429883211	0.0034835965079691588	NA	NA	0.0034835965079691588	1.0	0.015509486968531017
LBXVIA	LBXHCT	continuous	WTMEC2YR	True	1942	0.027017373088662578	0.008313860632604501	0.0038342656781456437	NA	NA	0.0038342656781456437	1.0	0.01666916943738107
URXMZP	URXUMASI	continuous	WTSB2YR	True	349	0.011031552014216907	0.0021715483312993796	0.0038343125824484305	NA	NA	0.0038343125824484305	1.0	0.01666916943738107
URXUBE	LBXSNASI	continuous	WTSA2YR	True	636	0.3358919814085475	0.09619382839400022	0.0039758941126960155	NA	NA	0.0039758941126960155	1.0	0.01710462779732765
