Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIA	LBXSTR	continuous	1.6909282745714847e-11	2.842450429554666e-07	2.842450429554666e-07	2186	0.012323888631925949	9.914327190975864e-11	4.104531457064008e-08	1.3681771523546692e-08	1940	0.011011014943241238
URXUTL	URXUCR	continuous	4.07061436321277e-11	6.842702744560666e-07	3.421351372280333e-07	754	4.415660085214699	4.1766893694044203e-10	1.72914939893343e-07	3.9018250293542424e-08	660	3.851789262797322
LBXGTC	LBXSTR	continuous	9.332987745058839e-11	1.568875239944391e-06	3.922188099860977e-07	1887	0.0017726000739008807	1.0666388475751222e-12	4.415884828961006e-10	4.415884828961006e-10	1939	0.002074402948273246
LBXVIE	LBXSTR	continuous	6.3210554688916855e-09	0.00010625694243206923	1.0539477741670553e-05	2188	0.0006283402374439226	4.712349069268409e-10	1.9509125146771213e-07	3.9018250293542424e-08	1940	0.0007119027457090437
LBXVIA	LBXSUA	continuous	1.475431014042366e-08	0.00024801995346052173	2.0668329455043476e-05	2184	0.024689405268924415	7.429165472384527e-09	3.0756745055671942e-06	3.4174161172968824e-07	1940	0.0263898136322452
URXUCD	URXUCR	continuous	4.660049617442528e-08	0.0007833543406920889	4.487165353079361e-05	716	1.0310045413855131	2.1245158097860886e-07	8.795495452514407e-05	7.995904956831279e-06	657	1.0034580742231862
LBXVIA	LBXSBU	continuous	6.8967433169765666e-09	0.00011593425515837608	1.0539477741670553e-05	2184	0.004219054163485409	9.941761463710457e-06	0.004115889245976129	0.00012105556605812145	1940	0.006590703467276176
LBXVIE	LBDLDL	continuous	2.0305311079151564e-07	0.0034133227924053777	0.00016079290077128866	978	0.00027212610473233926	3.060404337590249e-06	0.001267007395762363	5.0680295830494524e-05	890	0.00035862486611705323
LBXVIA	LBXSCA	continuous	5.877673301384526e-07	0.009880368819627387	0.00038001418537028414	2184	0.00547775701248893	3.2797359432248413e-06	0.0013578106804950842	5.222348771134939e-05	1940	0.004971106893560822
URXUPT	LBDEONO	continuous	1.8544343613022002e-06	0.031173041613489987	0.000865917822596944	740	-3.0597960643679825	9.410188085641905e-07	0.0003895817867455749	2.5972119116371658e-05	638	-0.021680764432766383
LBXVIA	LBXFER	continuous	2.872883173318123e-06	0.048293166143477645	0.0012708727932494118	2194	0.012275105560484634	1.6678108998296997e-06	0.0006904737125294956	3.634072171207872e-05	688	0.02028360517904974
