Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIA	LBXSTR	continuous	1.6909282745730408e-11	2.8424504295572817e-07	2.8424504295572817e-07	2186.0	0.373359825338373	9.914327190975827e-11	4.094617129873018e-08	1.3648723766243391e-08	1940.0	0.0110110149432411
URXUTL	URXUCR	continuous	4.070614363212523e-11	6.842702744560251e-07	3.421351372280126e-07	754.0	0.8545828973460445	4.1766893694045987e-10	1.7249727095640998e-07	3.8924003312180745e-08	660.0	3.85178926279732
LBXGTC	LBXSTR	continuous	9.332987745000715e-11	1.5688752399346206e-06	3.9221880998365525e-07	1887.0	0.4150642016692871	1.066638847574822e-12	4.4052184404840144e-10	4.4052184404840144e-10	1939.0	0.0020744029482732
LBXVIE	LBXSTR	continuous	6.3210554688943134e-09	0.0001062569424321	1.0539477741706216e-05	2188.0	0.6807551486824782	4.712349069271275e-10	1.946200165609037e-07	3.8924003312180745e-08	1940.0	0.000711902745709
LBXVIA	LBXSUA	continuous	1.4754310140436402e-08	0.0002480199534607	2.0668329455061325e-05	2184.0	0.2957794183357647	7.429165472383593e-09	3.068245340094424e-06	3.4091614889938044e-07	1940.0	0.0263898136322452
URXUCD	URXUCR	continuous	4.660049617442193e-08	0.000783354340692	4.487165352639303e-05	716.0	1.2684009235711895	2.1245158097860659e-07	8.774250294416452e-05	7.97659117674223e-06	657.0	1.0034580742231871
LBXVIA	LBXSBU	continuous	6.896743316999903e-09	0.0001159342551587	1.0539477741706216e-05	2184.0	0.1999805871583648	9.941761463710749e-06	0.0041059474845125	0.0001207631613091	1940.0	0.0065907034672761
LBXVIE	LBDLDL	continuous	2.0305311079139825e-07	0.0034133227924034	0.0001607929007712	978.0	0.5742600729798831	3.0604043375901007e-06	0.0012639469914247	5.055787965698846e-05	890.0	0.000358624866117
LBXVIA	LBXSCA	continuous	5.877673301486839e-07	0.0098803688197993	0.0003800141853768	2184.0	0.2394746069687809	3.2797359432287194e-06	0.0013545309445534	5.209734402128696e-05	1940.0	0.0049711068935605
URXUPT	LBDEONO	continuous	1.8544343612795929e-06	0.0311730416131099	0.0008659178225863	740.0	-35.0062748667526	9.410188085641904e-07	0.000388640767937	2.5909384529134048e-05	638.0	-0.0216807644327663
LBXVIA	LBXFER	continuous	2.8728831733227017e-06	0.0482931661435546	0.0012708727932514	2194.0	0.1890381546078991	1.6678108998297422e-06	0.0006888059016296	3.625294219103598e-05	688.0	0.0202836051790497
