Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIA	LBXSBU	continuous	1.3264743706363748e-09	2.1451743521931454e-05	1.1290391327332343e-06	1592	0.007582559943656558	9.3981876838037e-11	1.1719540041703214e-07	2.9298850104258035e-08	2069	0.008458951798182183
LBXGTC	LBXSTR	continuous	1.3332689786247166e-08	0.00021561625922318916	5.989340533977477e-06	1553	0.0012691331920876073	1.8091744459676484e-11	2.2560405341216577e-08	7.931079767282142e-09	2048	0.0016949552713754102
LBXVIA	LBXSCR	continuous	1.798539379172578e-08	0.00029085978839978933	7.2714947099947326e-06	1592	0.008886541498318752	5.937071513003915e-08	7.403528176715882e-05	5.6950216743968326e-06	2069	0.00660554028117538
LBXVIE	LBXSTR	continuous	3.6275702560874345e-08	0.0005866506618144599	1.3332969586692271e-05	1587	0.0004374699153267085	1.4277165314260858e-10	1.780362514688329e-07	3.560725029376658e-08	2066	0.0005576571406635598
LBXVIA	LBXSTR	continuous	4.660021590782471e-08	0.0007536186916613412	1.5379973299211046e-05	1591	0.00803841886577179	7.56503183645636e-09	9.43359470006108e-06	1.3476563857230115e-06	2066	0.009759900975533493
LBXVIA	LBXSUA	continuous	1.4466062691761937e-06	0.023394516585117403	0.00027850614982282627	1592	0.015500536550417035	3.3579228531281378e-09	4.187329797850788e-06	6.97888299641798e-07	2069	0.020934813798763493
SMQ020	LBDLYMNO	binary	1.9196194321936482e-06	0.03104408545743568	0.0003443002809838493	1395	0.13689749279250268	1.637885577529049e-07	0.00020424433151787242	1.4588880822705172e-05	1739	0.12493315440989672
LBXVIA	LBXSAL	continuous	4.211253270497062e-06	0.06810438789047848	0.0006559734886108267	1592	0.0044978310235476255	6.245474164364859e-07	0.0007788106282962979	4.09900330682262e-05	2069	0.00416349898794076
LBXVIA	LBXSOSSI	continuous	6.595194280339791e-06	0.1066574819016551	0.000867133999200448	1592	0.05098563237154864	4.834580042074621e-08	6.028721312467052e-05	5.023934427055877e-06	2069	0.05626832052885197
total_days_drink_year	LBXSGTSI	continuous	4.461070231523986e-06	0.0721444277842059	0.0006680039609648694	747	0.002027091692171471	1.170382045013624e-05	0.014594664101319892	0.00028616988433960574	900	0.0021844889574940103
URXUCD	URXUCR	continuous	9.0011501759644e-06	0.14556660064569626	0.00108631791526639	543	0.4171426220857934	5.672577666368524e-07	0.0007073704349961549	3.929835749978638e-05	757	0.5451062206427416
LBXRBF	LBXEPP	continuous	3.940297787943847e-08	0.000637224958266279	1.3852716484049543e-05	1629	0.0008895021874466431	6.974111340946346e-05	0.08696716842160093	0.0012261690848132112	721	0.0011866332783548492
LBXRBF	LBXHGB	continuous	8.723538415666505e-06	0.14107706325815872	0.0010607297989335242	1628	-0.001608331737457273	1.4372818434172436e-05	0.017922904587413028	0.0003446712420656352	2112	-0.00268776181353888
LBXVIA	LBXHCY	continuous	8.633119371757921e-07	0.01396148064800691	0.00018866865740549876	1598	0.005754555086405402	9.572915897709236e-05	0.11937426124443418	0.001530439246723515	1880	0.003051488188555485
URXEQU	LBXSAPSI	continuous	1.905787636188003e-05	0.30820397652432385	0.00200132452288522	506	6.517191755058091e-05	1.9339713404133982e-08	2.4116622614955077e-05	2.4116622614955074e-06	647	0.0001567608365607961
LBXVIA	LBXFER	continuous	2.0818014015878474e-05	0.3366689226647867	0.0021508749818197302	1599	0.013134723635443315	7.88006895449774e-06	0.009826445986258682	0.00022558121543908512	708	0.014940938778764387
LBXCOT	LBDLYMNO	continuous	2.9721712431516917e-05	0.48065953344249157	0.002810874464575974	1561	0.0004600382168422451	1.908038436395062e-11	2.3793239301846425e-08	7.931079767282142e-09	2066	0.000536433906137921
total_days_drink_year	LBDHDL	continuous	2.4154404992796277e-05	0.39062503754350136	0.0023674244699606146	745	0.0005420601774105128	3.4697709472030925e-05	0.043268043711622566	0.0006867943446289296	903	0.0005867944117770334
URXDMA	LBDEONO	continuous	7.641182300405786e-06	0.12357320016216237	0.0009505630781704798	532	1.852458733804196e-05	0.00015646799607020145	0.1951155910995412	0.00235079025421134	655	1.5009089154488078e-05
SMQ020	LBDMONO	binary	3.600075854036133e-05	0.5822042671147234	0.003198924544586392	1395	0.10758636899554139	4.853410793908245e-06	0.006052203260003582	0.0001681167572223217	1739	0.029372715473968948
URXUPT	LBDLDL	continuous	3.6733846462235816e-05	0.5940597649872776	0.0032462282239741945	220	7.284423414195274	2.053093527530499e-05	0.025602076288305322	0.0004654851183948001	351	2.8416196295725404
LBXBPB	LBXHCY	continuous	4.102093898205803e-05	0.6633906252178425	0.0035286735383927795	1625	0.033318932672001	5.7213466824316e-06	0.007134519312992205	0.00018462888669913225	1913	0.026914911439115924
LBXVTO	LBXSNASI	continuous	5.142630586087059e-05	0.8316662183819992	0.0040569083823512155	241	-0.045506271680512744	1.2028775882413089e-06	0.001499988352536912	6.537382770498422e-05	828	0.000699798838058846
LBXB12	LBXHCY	continuous	4.929039554390991e-05	0.7971242767361111	0.004005649631839754	1605	-0.00019132254602212263	8.116154151138253e-06	0.010120844226469403	0.00022558121543908512	1885	-0.00021156883752809752
LBXVIE	LBDLDL	continuous	5.314677490687113e-05	0.8594896437939199	0.00415641787710053	679	0.0002962451146272261	6.558682385238876e-06	0.008178676934392878	0.0001994799252290946	1000	0.0003119121721421246
DR1TCARB	LBXSBU	continuous	4.606266526018044e-05	0.744925422587638	0.003879819909310615	1517	-0.00027206816136347525	2.5096446190010695e-05	0.03129526839894334	0.0005130371868679235	1971	-0.00047775876392092473
LBXB12	LBXSCLSI	continuous	5.907717398632607e-05	0.9553960577068652	0.004423129896791043	1591	-0.001453733727212153	2.2183921101423603e-05	0.027663349613475233	0.00048479575858728554	2062	-0.0010578489056217088
URXEQU	URXUCR	continuous	5.3201737605726546e-05	0.8603785005598097	0.00415641787710053	549	0.00013481503866016206	5.913715730105202e-05	0.07374403515441187	0.0010687541326726358	701	0.0001228430607719479
LBXGTC	LBDLDL	continuous	8.414197405489373e-05	1.0	0.005648439903588858	665	0.0005959435632482392	1.866333626958647e-07	0.00023273180328174328	1.5515453552116216e-05	990	0.0009074182135633032
URXDMA	LBXHCY	continuous	3.469512734313343e-05	0.5610895993931538	0.003134578767559519	531	-3.91796634253347e-05	0.00017654867122899058	0.22015619302255127	0.0025599557328203635	597	-2.0547878414612477e-05
LBXCOT	LBXMCHSI	continuous	8.290339109908495e-05	1.0	0.0056332505918252175	1566	0.0025714389118268134	3.072040863973499e-06	0.003830834957374953	0.00012437869455658455	2086	0.002712444136973946
LBXVIE	LBXSCLSI	continuous	8.28761689742618e-06	0.1340273404651762	0.0010231094691998182	1588	-0.0011351735562734645	0.00038438947772674245	0.47933367872524785	0.0048971656411763344	2069	-0.0005974471441225378
LBXRBF	LBXHCT	continuous	8.660458506902746e-05	1.0	0.005787476651802943	1628	-0.00459930016464912	5.774279535899084e-06	0.007200526581266157	0.00018462888669913225	2112	-0.008524650007072808
URXEQU	LBXEOPCT	continuous	1.6086455711179546e-06	0.026015016176119562	0.0003025001880944135	517	0.0001277550114106661	0.0006246847491293357	0.7789818821642817	0.00677375549708071	654	0.00011616762736190555
LBXCOT	LBXMCVSI	continuous	0.00011664176491542468	1.0	0.0070649086974241505	1566	0.006174256573071253	1.2581971651320138e-06	0.0015689718649196211	6.537382770498422e-05	2086	0.007104247527083101
SMD410	LBDNENO	binary	0.00011463117451726925	1.0	0.006995529638842559	1624	0.11059140959046074	5.194504268371321e-05	0.06477546822659037	0.0009640708184971761	2098	0.10831156724085544
LBXCOT	LBDNENO	continuous	0.00015432996996266724	1.0	0.00834723837537209	1561	0.00047809127884176406	2.712590812895369e-07	0.0003382600743680525	2.1141254648003282e-05	2066	0.0005134546154442886
LBXFOL	LBXSCA	continuous	0.00012711709736865252	1.0	0.0073947399231865055	1591	0.006336538546356457	7.114916722646277e-05	0.08872301153139908	0.0012322640490472095	2065	0.007829719025976054
VITAMIN_C_mg	LBXHCY	continuous	1.787917971713735e-14	2.8914209438554524e-10	1.4457104719277262e-10	1608	-2.758187135373722e-06	0.0008856463775270045	1.0	0.009139908847858336	1895	-0.00012029708787277168
DR1TSELE	LBXHCY	continuous	3.535408725503306e-05	0.5717462990883947	0.0031588193319800812	1546	-0.00044586448444914744	0.0006100525185983973	0.7607354906922015	0.006673118339405276	1814	-0.0005634767316513239
LBXBEC	LBXCRP	continuous	0.00018524493292996816	1.0	0.009566782623680839	889	-0.014270164323167992	2.0903902670496235e-05	0.026067166630108805	0.0004654851183948001	2071	-0.00806032461545762
LBXBEC	LBDNENO	continuous	0.00020681264138021037	1.0	0.010290997035079267	884	-0.004302600405262638	1.0560011786670172e-06	0.0013168334697977705	6.270635570465575e-05	2050	-0.003862853737362062
LBXVIE	LBXSATSI	continuous	0.00020449305301430018	1.0	0.01026024887976774	1588	0.00013616021505682537	3.606813745708086e-06	0.004497696740897983	0.00014055302315306198	2063	0.00010343097999603483
SMD410	LBDLYMNO	binary	0.00021545248494885745	1.0	0.010590570172014964	1624	0.10912076719380082	2.889578961088445e-07	0.0003603304964477291	2.1195911555748767e-05	2098	0.13717716594049517
LBXVTO	LBXSOSSI	continuous	0.00021919357843370053	1.0	0.010709361179546238	241	-0.07597520277324513	6.049567057109777e-06	0.007543810120215892	0.0001885952530053973	828	0.22727745581801795
LBXVTO	LBXSPH	continuous	0.0002491814886563887	1.0	0.011613149955478725	241	-0.011455124588815407	1.7634306657050253e-08	2.1989980401341666e-05	2.4116622614955074e-06	828	0.027919861560908893
LBXVIE	LBXSCA	continuous	9.650623870470883e-05	1.0	0.006267867037480126	1588	0.00014783928687178976	0.0005320297608275909	0.6634411117520058	0.005976946952720773	2069	9.70711621906898e-05
