Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIA	LBXSTR	continuous	1.6909282745714847e-11	2.842450429554666e-07	2.842450429554666e-07	2186	0.012323888631925949	9.914327190975864e-11	4.104531457064008e-08	1.3681771523546692e-08	1940	0.011011014943241238
URXUTL	URXUCR	continuous	4.07061436321277e-11	6.842702744560666e-07	3.421351372280333e-07	754	4.415660085214699	4.1766893694044203e-10	1.72914939893343e-07	3.9018250293542424e-08	660	3.851789262797322
LBXGTC	LBXSTR	continuous	9.332987745058839e-11	1.568875239944391e-06	3.922188099860977e-07	1887	0.0017726000739008807	1.0666388475751222e-12	4.415884828961006e-10	4.415884828961006e-10	1939	0.002074402948273246
LBXVIE	LBXSTR	continuous	6.3210554688916855e-09	0.00010625694243206923	1.0539477741670553e-05	2188	0.0006283402374439226	4.712349069268409e-10	1.9509125146771213e-07	3.9018250293542424e-08	1940	0.0007119027457090437
LBXVIA	LBXSUA	continuous	1.475431014042366e-08	0.00024801995346052173	2.0668329455043476e-05	2184	0.024689405268924415	7.429165472384527e-09	3.0756745055671942e-06	3.4174161172968824e-07	1940	0.0263898136322452
URXUCD	URXUCR	continuous	4.660049617442528e-08	0.0007833543406920889	4.487165353079361e-05	716	1.0310045413855131	2.1245158097860886e-07	8.795495452514407e-05	7.995904956831279e-06	657	1.0034580742231862
LBXVIA	LBXSBU	continuous	6.8967433169765666e-09	0.00011593425515837608	1.0539477741670553e-05	2184	0.004219054163485409	9.941761463710457e-06	0.004115889245976129	0.00012105556605812145	1940	0.006590703467276176
LBXVIE	LBDLDL	continuous	2.0305311079151564e-07	0.0034133227924053777	0.00016079290077128866	978	0.00027212610473233926	3.060404337590249e-06	0.001267007395762363	5.0680295830494524e-05	890	0.00035862486611705323
LBXVIA	LBXSCA	continuous	5.877673301384526e-07	0.009880368819627387	0.00038001418537028414	2184	0.00547775701248893	3.2797359432248413e-06	0.0013578106804950842	5.222348771134939e-05	1940	0.004971106893560822
URXUPT	LBDEONO	continuous	1.8544343613022002e-06	0.031173041613489987	0.000865917822596944	740	-3.0597960643679825	9.410188085641905e-07	0.0003895817867455749	2.5972119116371658e-05	638	-0.021680764432766383
LBXVIA	LBXFER	continuous	2.872883173318123e-06	0.048293166143477645	0.0012708727932494118	2194	0.012275105560484634	1.6678108998296997e-06	0.0006904737125294956	3.634072171207872e-05	688	0.02028360517904974
LBXRPL	LBXSTR	continuous	3.303970442358725e-06	0.05553974313605017	0.0013546278813670772	1726	0.11710385938561894	8.940247302669143e-12	3.7012623833050253e-09	1.8506311916525127e-09	1889	0.19195886879798033
taking_birth_control	LBXCRP	binary	3.45952570696405e-06	0.05815462713406568	0.0013846339793825162	327	1.082873338882889	5.59940477374644e-06	0.002318153576331026	7.993633021831123e-05	269	1.1946403931384888
LBXVIA	LBXSCR	continuous	3.542683531349786e-07	0.00595525101619899	0.00024942139405493776	2184	0.005154119005116242	0.00018148998320372274	0.07513685304634121	0.0013417295186846647	1940	0.003558348204529406
LBXVIA	LBXIRN	continuous	4.398374507228988e-06	0.07393667546651929	0.0016073190318808541	2190	0.005434550568867468	2.0503862190787774e-06	0.0008488598946986139	4.2442994734930695e-05	759	0.012303239737408957
LBXVIA	LBXSIR	continuous	6.046124532833354e-06	0.10163535339692868	0.002032707067938574	2184	0.005380829031472698	1.6310880730877969e-09	6.752704622583479e-07	1.1254507704305799e-07	1940	0.007246947913818706
LBXFOL	LBXHCY	continuous	5.982632098565094e-06	0.10056804557687923	0.002032707067938574	2200	-0.011161574831923114	1.3814671075772297e-05	0.005719273825369731	0.00015457496825323599	1808	-0.010872308125313498
SMD410	LBDNENO	binary	7.640388147439123e-06	0.12843492475845167	0.0023784245325639197	2208	0.1556668543444302	5.602938158514215e-05	0.023196163976248848	0.0004548267446323304	1961	0.12844505315593788
URXUPT	LBXEOPCT	continuous	1.0124591769256066e-05	0.17019438764119446	0.002883671720449614	740	-10.403140413713599	3.044455808304169e-09	1.260404704637926e-06	1.5755058807974076e-07	638	-0.10165781548168126
LBXVIE	LBXSCLSI	continuous	8.387178640873998e-06	0.14098847295309191	0.002517651302733784	2184	-0.0006639708988437565	4.9594610510920674e-05	0.020532168751521158	0.0004106433750304232	1940	-0.0006745710826631442
URXUMO	URXUCR	continuous	1.1254358145489874e-05	0.18918576042568477	0.0031014059086177837	716	0.007344551509025356	2.971975037308323e-09	1.2303976654456456e-06	1.5755058807974076e-07	660	0.007856852480532719
LBXVIA	LBXSAPSI	continuous	1.1783250774555383e-05	0.19807644552027598	0.0031440705638139045	2184	-0.0030380343556125748	2.8068283895439103e-06	0.0011620269532711788	4.841778971963245e-05	1940	-0.0030418831594891515
supplement_count	LBXHCY	continuous	1.4417209216722473e-05	0.24235328693310476	0.0037285121066631503	2215	-0.029298596613511158	2.3733389112862777e-06	0.000982562309272519	4.466192314875086e-05	1820	-0.032240925647198146
LBXVIA	LBXSAL	continuous	4.687417546095247e-09	7.87954889498611e-05	9.849436118732638e-06	2184	0.005718315344307702	0.0006314779260586545	0.261431861388283	0.003844586196886514	1940	0.004400642142598228
LBXRBF	LBXHCY	continuous	1.698854073889897e-06	0.028557736982089167	0.0008399334406496814	2210	-0.0004628809526241305	0.00047920578093387444	0.19839119330662403	0.003149066560422603	1809	-0.0003606135037493348
LBXVIA	LBXHGB	continuous	8.824134750167002e-07	0.01483337051503073	0.0005493840931492863	2192	0.017914035896555214	0.0007244114415615138	0.2999063368064667	0.004224032912767136	1942	0.010823870176730671
VITAMIN_C_mg	LBXHCY	continuous	1.0292700965316886e-05	0.17302030322697684	0.002883671720449614	2184	-0.00010398654574377927	0.0005208403174928329	0.21562789144203282	0.0033691858037817627	1801	-7.486185755642316e-05
CALCIUM_mg	LBXIRN	continuous	2.0283758862223332e-09	3.409699864739742e-05	4.87099980677106e-06	2152	1.1081828841510802e-05	0.001149153665027353	0.47574961732132415	0.006259863385806897	747	0.00014328454009917424
URXUPT	LBXRBCSI	continuous	3.6519252334301675e-05	0.6138886317396112	0.007222219196936603	746	2.567299888242527	7.057646980226226e-05	0.029218658498136575	0.0005512954433610674	640	0.029737935028741447
LBXGTC	LBXGH	continuous	4.003650164972879e-05	0.673013592731941	0.007825739450371407	1892	0.00024594003297982996	8.39056289191416e-06	0.0034736930372524623	0.00010526342537128675	1938	0.0002050507103775875
URXP14	LBXSAL	continuous	2.1043687191959254e-07	0.0035374438169683505	0.00016079290077128866	648	-0.003686355005297021	0.0018074798385896535	0.7482966531761166	0.009168715907483306	303	-0.019293434142186257
LBXGHC	LBXSGTSI	continuous	4.251963298750991e-05	0.7147550305200416	0.00814974893858008	696	-1.2086945873597545	0.0004184597905191726	0.17324235327493748	0.0028400385782776636	303	2.9976606322884476
LBXVIA	LBXHCY	continuous	7.713935102406872e-05	1.0	0.01189644486894124	2190	0.00409370633472188	6.454518048018967e-05	0.026721704718798523	0.0005138789368999716	1800	0.002418293326470045
LBXHA	LBXSCR	binary	8.270477810222104e-05	1.0	0.012392468239621415	2189	-0.07409707282188152	2.264287578284175e-06	0.0009374150574096485	4.4638812257602306e-05	1952	-0.07200928039075774
URXUPT	LBXHCT	continuous	8.330451582850803e-05	1.0	0.012392468239621415	746	87.28206076688278	1.612316099867908e-05	0.0066749886534531394	0.000164695221655455	640	0.28334735604225925
