Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIA	LBXSBU	continuous	1.3264743706476643e-09	2.1451743522114027e-05	1.1290391327428434e-06	1592.0	0.3594087041640095	9.398187683939563e-11	1.1710141854188696e-07	2.927535463547174e-08	2069.0	0.3336730498765983
LBXGTC	LBXSTR	continuous	1.3332689786258209e-08	0.0002156162592233	5.989340533982437e-06	1553.0	0.297174621022351	1.8091744459681977e-11	2.2542313596763744e-08	7.924719639163458e-09	2048.0	0.3595233860909251
LBXVIA	LBXSCR	continuous	1.798539379168752e-08	0.0002908597883991	7.271494709979264e-06	1592.0	0.4592613665034184	5.9370715129781794e-08	7.397591105170811e-05	5.690454696285239e-06	2069.0	0.4152564915639631
LBXVIE	LBXSTR	continuous	3.627570256091213e-08	0.000586650661815	1.3332969586706156e-05	1587.0	0.4739627983460407	1.4277165314258968e-10	1.7789347981566677e-07	3.557869596313336e-08	2066.0	0.5388151472851681
LBXVIA	LBXSTR	continuous	4.6600215908275474e-08	0.0007536186916686	1.5379973299359815e-05	1591.0	0.2435288692844562	7.565031836606845e-09	9.426029668412129e-06	1.3465756669160185e-06	2066.0	0.2736645326896051
LBXVIA	LBXSUA	continuous	1.446606269177862e-06	0.0233945165851443	0.0002785061498231	1592.0	0.1856966433510945	3.35792285315667e-09	4.183971875033211e-06	6.973286458388685e-07	2069.0	0.2589437648772047
SMQ020	LBDLYMNO	binary	1.9196194321940446e-06	0.031044085457442	0.0003443002809779	1395.0	0.4152299549756932	1.63788557752894e-07	0.0002040805429601	1.4577181640007566e-05	1739.0	0.3633565422285079
LBXVIA	LBXSAL	continuous	4.21125327051618e-06	0.0681043878907876	0.0006559734886045	1592.0	0.2183016450854596	6.245474164827674e-07	0.0007781860809375	4.095716215460675e-05	2069.0	0.1793699877445241
LBXVIA	LBXSOSSI	continuous	6.595194281006188e-06	0.106657481912432	0.000867133999288	1592.0	0.1608155411145563	4.8345800437571216e-08	6.0238867345213726e-05	5.019905612101144e-06	2069.0	0.1878287378203505
total_days_drink_year	LBXSGTSI	continuous	4.461070231515356e-06	0.0721444277840663	0.0006680039609635	747.0	0.31929985211163	1.17038204501359e-05	0.0145829602808693	0.0002859403976641	900.0	0.3378731421855754
