Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIA	LBXSTR	continuous	1.6909282745730408e-11	2.8424504295572817e-07	2.8424504295572817e-07	2186.0	0.373359825338373	9.914327190975827e-11	4.094617129873018e-08	1.3648723766243391e-08	1940.0	0.0110110149432411
URXUTL	URXUCR	continuous	4.070614363212523e-11	6.842702744560251e-07	3.421351372280126e-07	754.0	0.8545828973460445	4.1766893694045987e-10	1.7249727095640998e-07	3.8924003312180745e-08	660.0	3.85178926279732
LBXGTC	LBXSTR	continuous	9.332987745000715e-11	1.5688752399346206e-06	3.9221880998365525e-07	1887.0	0.4150642016692871	1.066638847574822e-12	4.4052184404840144e-10	4.4052184404840144e-10	1939.0	0.0020744029482732
LBXVIE	LBXSTR	continuous	6.3210554688943134e-09	0.0001062569424321	1.0539477741706216e-05	2188.0	0.6807551486824782	4.712349069271275e-10	1.946200165609037e-07	3.8924003312180745e-08	1940.0	0.000711902745709
LBXVIA	LBXSUA	continuous	1.4754310140436402e-08	0.0002480199534607	2.0668329455061325e-05	2184.0	0.2957794183357647	7.429165472383593e-09	3.068245340094424e-06	3.4091614889938044e-07	1940.0	0.0263898136322452
URXUCD	URXUCR	continuous	4.660049617442193e-08	0.000783354340692	4.487165352639303e-05	716.0	1.2684009235711895	2.1245158097860659e-07	8.774250294416452e-05	7.97659117674223e-06	657.0	1.0034580742231871
LBXVIA	LBXSBU	continuous	6.896743316999903e-09	0.0001159342551587	1.0539477741706216e-05	2184.0	0.1999805871583648	9.941761463710749e-06	0.0041059474845125	0.0001207631613091	1940.0	0.0065907034672761
LBXVIE	LBDLDL	continuous	2.0305311079139825e-07	0.0034133227924034	0.0001607929007712	978.0	0.5742600729798831	3.0604043375901007e-06	0.0012639469914247	5.055787965698846e-05	890.0	0.000358624866117
LBXVIA	LBXSCA	continuous	5.877673301486839e-07	0.0098803688197993	0.0003800141853768	2184.0	0.2394746069687809	3.2797359432287194e-06	0.0013545309445534	5.209734402128696e-05	1940.0	0.0049711068935605
URXUPT	LBDEONO	continuous	1.8544343612795929e-06	0.0311730416131099	0.0008659178225863	740.0	-35.0062748667526	9.410188085641904e-07	0.000388640767937	2.5909384529134048e-05	638.0	-0.0216807644327663
LBXVIA	LBXFER	continuous	2.8728831733227017e-06	0.0482931661435546	0.0012708727932514	2194.0	0.1890381546078991	1.6678108998297422e-06	0.0006888059016296	3.625294219103598e-05	688.0	0.0202836051790497
LBXRPL	LBXSTR	continuous	3.303970442358761e-06	0.0555397431360507	0.001354627881367	1726.0	0.465095696546867	8.940247302669143e-12	3.692322136002356e-09	1.846161068001178e-09	1889.0	0.1919588687979804
taking_birth_control	LBXCRP	binary	3.459525706963952e-06	0.058154627134064	0.0013846339793824	327.0	0.8203680157626384	5.599404773746358e-06	0.0023125541715572	7.974324729507745e-05	269.0	1.19464039313849
LBXVIA	LBXSCR	continuous	3.54268353134592e-07	0.0059552510161924	0.0002494213940182	2184.0	0.2663677132277837	0.0001814899832036	0.0749553630631131	0.001338488626127	1940.0	0.0035583482045294
LBXVIA	LBXIRN	continuous	4.398374507264364e-06	0.0739366754671139	0.0016073190318937	2190.0	0.2057126454783413	2.050386219079409e-06	0.0008468095084797	4.234047542398979e-05	759.0	0.0123032397374086
LBXVIA	LBXSIR	continuous	6.04612453285504e-06	0.1016353533972932	0.0020327070679458	2184.0	0.2116701588584773	1.6310880730885562e-09	6.736393741855738e-07	1.1227322903092897e-07	1940.0	0.0072469479138185
LBXFOL	LBXHCY	continuous	5.982632098580205e-06	0.1005680455771332	0.0020327070679458	2200.0	-0.2865423076518202	1.3814671075771162e-05	0.0057054591542934	0.0001542015987646	1808.0	-0.0108723081253135
SMD410	LBDNENO	binary	7.640388147439233e-06	0.1284349247584535	0.0023784245325639	2208.0	0.3959598745284608	5.602938158514276e-05	0.0231401345946639	0.0004537281293071	1961.0	0.1284450531559376
URXUPT	LBXEOPCT	continuous	1.0124591769207833e-05	0.1701943876403836	0.0028836717204571	740.0	-31.504123816948173	3.0444558083037886e-09	1.2573602488294649e-06	1.5717003110368308e-07	638.0	-0.1016578154816812
LBXVIE	LBXSCLSI	continuous	8.387178640900991e-06	0.1409884729535456	0.0025176513027418	2184.0	-0.1465642639641123	4.959461051033954e-05	0.0204825741407702	0.0004096514828154	1940.0	-0.0006745710826638
URXUMO	URXUCR	continuous	1.1254358145496344e-05	0.1891857604257935	0.0031014059086195	716.0	0.5411058529330638	2.971975037308365e-09	1.227425690408355e-06	1.5717003110368308e-07	660.0	0.0078568524805327
LBXVIA	LBXSAPSI	continuous	1.178325077444816e-05	0.1980764455184735	0.0031440705637852	2184.0	-0.1677223195730374	2.8068283895417245e-06	0.0011592201248807	4.830083853669717e-05	1940.0	-0.0030418831594892
supplement_count	LBXHCY	continuous	1.4417209216722708e-05	0.2423532869331087	0.0037285121066632	2215.0	-0.1330407712012018	2.373338911286148e-06	0.0009801889703611	4.4554044107326326e-05	1820.0	-0.0322409256471981
LBXVIA	LBXSAL	continuous	4.687417546153535e-09	7.879548895084092e-05	9.849436118855115e-06	2184.0	0.2775376932225801	0.0006314779260588	0.2608003834623186	0.0038352997567988	1940.0	0.0044006421425981
LBXRBF	LBXHCY	continuous	1.6988540738899768e-06	0.0285577369820905	0.0008399334406497	2210.0	-0.1660893517430244	0.000479205780934	0.1979119875257557	0.0031414601194564	1809.0	-0.0003606135037493
LBXVIA	LBXHGB	continuous	8.824134750234481e-07	0.0148333705151441	0.0005493840931534	2192.0	0.2072679827748585	0.0007244114415609	0.2991819253646658	0.0042138299347136	1942.0	0.0108238701767315
VITAMIN_C_mg	LBXHCY	continuous	1.0292700965343867e-05	0.1730203032274304	0.0028836717204571	2184.0	-0.7728265017411302	0.0005208403174929	0.2151070511245993	0.0033610476738218	1801.0	-7.486185755641425e-05
CALCIUM_mg	LBXIRN	continuous	2.028375886776156e-09	3.409699865670718e-05	4.870999808101025e-06	2152.0	0.0163030264399667	0.0011491536650247	0.4746004636552297	0.0062447429428319	747.0	0.0001432845400992
URXUPT	LBXRBCSI	continuous	3.651925233420862e-05	0.613888631738047	0.0072222191969182	746.0	31.05824619039888	7.057646980222601e-05	0.0291480820283193	0.000549963811855	640.0	0.0297379350287417
LBXGTC	LBXGH	continuous	4.003650164942937e-05	0.6730135927269076	0.0078257394503128	1892.0	0.2302281582203955	8.390562891925533e-06	0.0034653024743652	0.0001050091658898	1938.0	0.0002050507103775
URXP14	LBXSAL	continuous	2.104368719194913e-07	0.0035374438169666	0.0001607929007712	648.0	-0.1588401965892103	0.001807479838589	0.7464891733372662	0.0091465692507274	303.0	-0.0192934341421867
LBXGHC	LBXSGTSI	continuous	4.251963298750644e-05	0.7147550305199832	0.0081497489387305	696.0	-0.0382832669048915	0.0004184597905191	0.1728238934843956	0.0028331785817114	303.0	2.997660632288458
LBXVIA	LBXHCY	continuous	7.713935102425818e-05	1.0	0.0118964448689704	2190.0	0.1915045196287116	6.454518048018338e-05	0.0266571595383157	0.0005126376834291	1800.0	0.00241829332647
LBXHA	LBXSCR	binary	8.270477810221679e-05	1.0	0.0123924682396644	2189.0	-0.2129145359960051	2.2642875782839124e-06	0.0009351507698312	4.4530989039583606e-05	1952.0	-0.0720092803907581
URXUPT	LBXHCT	continuous	8.33045158287975e-05	1.0	0.0123924682396644	746.0	26.332565501028352	1.6123160998661683e-05	0.0066588654924472	0.0001642974071095	640.0	0.2833473560422628
