Variable	Outcome	Variable_type	pvalue_disc	pvalue_bonferroni_disc	pvalue_fdr_disc	N_disc	Beta_disc	pvalue_repl	pvalue_bonferroni_repl	pvalue_fdr_repl	N_repl	Beta_repl
LBXVIE	LBXSTR	continuous	4.724878994009259e-17	8.327126739041918e-13	8.327126739041918e-13	4039	0.00036804469563418674	5.833159400586853e-16	1.0867175963293306e-12	1.7805489579496095e-13	4556	0.00044773130609408957
LBXGTC	LBXSTR	continuous	1.7403542718277506e-14	3.0672003686692276e-10	8.06624811157644e-11	3900	0.0014944645425005918	5.281921282450933e-15	9.840219349206088e-12	1.0933577054673431e-12	4548	0.0016690876127531886
LBXVIA	LBXSTR	continuous	7.499147526179176e-14	1.3216497600138179e-09	2.643299520027636e-10	4068	0.010386647134753435	3.110929783148297e-16	5.795662186005278e-13	1.4489155465013194e-13	4556	0.011276901752014812
LBXVIA	LBXSUA	continuous	1.697560181017993e-12	2.991780063026111e-08	2.7198000572964643e-09	4068	0.01705469315602269	1.1598453947845708e-12	2.1607919704836556e-09	1.4405279803224372e-10	4557	0.017363000659970037
taking_birth_control	LBXCRP	binary	3.2954281004426907e-13	5.807862484220198e-09	9.679770807033664e-10	661	1.0914035379674447	1.6052667565656242e-10	2.990611967481758e-07	6.954911552283158e-09	754	1.131043778154876
LBXVIA	LBXSIR	continuous	1.5529417315433295e-12	2.7369045076719638e-08	2.7198000572964643e-09	4068	0.004158966211732527	7.378098133791482e-10	1.374539682325353e-06	2.5934710987270813e-08	4555	0.004662510214341126
LBXVIA	LBXSBU	continuous	3.3763181516810525e-10	5.950423110522687e-06	1.7501244442713786e-07	4068	0.004916063472953031	4.03791726927391e-12	7.522639872657295e-09	3.4193817602987703e-10	4558	0.005448680623915858
DR1TFIBE	LBXHCY	continuous	2.300096459375351e-10	4.053690000003119e-06	1.307641935484877e-07	3988	-0.0034466040666452425	2.581281122519587e-09	4.80892673125399e-06	8.097108382529072e-08	4367	-0.006873485244760079
LBXCOT	LBDLYMNO	continuous	5.04838914533452e-10	8.897281029737557e-06	2.4714669527048765e-07	4010	0.0005477966115324316	4.463790774524604e-12	8.316042212939337e-09	3.6156705273649293e-10	4583	0.0004321454978373006
LBXVIA	LBXIRN	continuous	4.4599922919725794e-13	7.860290415372474e-09	1.1228986307674962e-09	4077	0.00432735429773896	1.3977633593349554e-08	2.604033138441022e-05	3.3818612187545736e-07	1516	0.006583460080272266
LBXBCD	LBXHGB	continuous	9.86105652696926e-10	1.7379126023130625e-05	4.1378871483644344e-07	4122	0.39837047393484476	4.798963991816796e-11	8.940469916754691e-08	2.554419976215626e-09	4639	0.34827356752915933
LBXBCD	LBXHCT	continuous	2.2944765534789242e-09	4.043785477851256e-05	7.776510534329339e-07	4122	1.0872473303780912	5.857634468827031e-10	1.0912773015424759e-06	2.1397594147891682e-08	4639	0.9699393396113147
LBXVIA	LBXSGTSI	continuous	2.4613543758452352e-09	4.3378909519896426e-05	8.18469990941442e-07	4068	0.006913829451041505	2.1233527936472083e-12	3.955806254564749e-09	2.1976701414248608e-10	4558	0.0076297494062523355
total_days_drink_year	LBDHDL	continuous	5.354017690510818e-12	9.435920777756265e-08	7.258400598274051e-09	2566	0.0006385941531425484	6.473436600244734e-08	0.00012060012386255939	1.2177172400285216e-06	2832	0.0004990243434321902
LBXVIA	LBXSCR	continuous	4.7216819940386975e-09	8.3214923462938e-05	1.4347400597058276e-06	4068	0.004242749622734499	1.6151168391031882e-13	3.00896267124924e-10	2.5074688927076997e-11	4558	0.0032535648570930697
SMQ040	LBXHGB	categorical	1.4280751374029858e-09	2.5168396221590223e-05	5.720090050361413e-07	2049		4.543731340613724e-08	8.464971487563367e-05	9.201055964742791e-07	3157	
